COD_FACTURA,DATE_FACTURA,DESC_PRODUCTE,COD_PROVEIDOR,F_QUANTITAT,F_IVA,F_PREU_SENSE_IVA_UNITAT,F_PVP_UNITAT,F_TOTAL_SENSE_IVA,F_PVP_TOTAL
FRA 333,2023-05-04,02122 TAULA BAIXA,ALLAU,1,0.21,2.33,2.95,2.33,2.95
FRA 333,2023-05-04,30359 BALANÇI,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 333,2023-05-04,DIY695A,STREETS AHEAD,1,0.21,5.69,7.2,5.69,7.2
FRA 332,2023-05-04,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 331,2023-05-03,A CUENTA,VARIS,1,0.21,197.5,250.0,197.5,250.0
FRA 330,2023-05-03,VIOLÍ,STREETS AHEAD,1,0.21,13.43,17.0,13.43,17.0
FRA 329,2023-05-03,TROMBON,STREETS AHEAD,1,0.21,13.43,17.0,13.43,17.0
FRA 328,2023-05-03,CONJUNT BARRET + BOSSA,CAROL,1,0.21,30.02,38.0,30.02,38.0
FRA 327,2023-05-03,MSC 16,ALLAU,1,0.21,13.39,16.95,13.39,16.95
FRA 326,2023-05-03,RELLOTGE PARET,VARIS,1,0.21,11.06,14.0,11.06,14.0
FRA 325,2023-05-03,BOSSA,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 325,2023-05-03,2613 NANY,CREAL,1,0.21,8.37,10.6,8.37,10.6
FRA 325,2023-05-03,269532 NENA,CREAL,1,0.21,7.03,8.9,7.03,8.9
FRA 325,2023-05-03,29520 NENA,CREAL,1,0.21,5.45,6.9,5.45,6.9
FRA 325,2023-05-03,PAPER RAJOLA,W&M,4,0.21,3.63,4.6,14.54,18.4
FRA 324,2023-05-03,75403 RETRAT,CREAL,2,0.21,1.58,2.0,3.16,4.0
FRA 324,2023-05-03,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 323,2023-05-02,79717 CORNISA,CREAL,3,0.21,2.29,2.9,6.87,8.7
FRA 323,2023-05-02,79720 ZÓCALO,CREAL,3,0.21,2.61,3.3,7.82,9.899999999999999
FRA 323,2023-05-02,CSS45,AZTEC,1,0.21,4.42,5.6,4.42,5.6
FRA 322,2023-05-02,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 321,2023-05-02,DIY779,STREETS AHEAD,2,0.21,4.03,5.1,8.06,10.2
FRA 321,2023-05-02,34979 W&M,W&M,1,0.21,4.62,5.85,4.62,5.85
FRA 320,2023-05-02,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 320,2023-05-02,79939 PARQUET,CREAL,1,0.21,20.38,25.8,20.38,25.8
FRA 319,2023-05-02,BOSSA,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 319,2023-05-02,LAMP. SOSTRE LED 2285,CREAL,2,0.21,17.22,21.8,34.44,43.6
FRA 319,2023-05-02,MONTATGE CASA,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 318,2023-05-02,DAMA,CREAL,1,0.21,8.69,11.0,8.69,11.0
FRA 318,2023-05-02,2220 LAMPARA TAULA LED,CREAL,1,0.21,13.11,16.6,13.11,16.6
FRA 318,2023-05-02,2218 LAMPARA SOSTRE LED,CREAL,1,0.21,13.43,17.0,13.43,17.0
